danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.271,0.551,3,-8.46,1,0.0272,0.0307,0.000581,0.118,0.2,143.899,audio_features,0wvIGFIgbyz4JNwQhZgTv2,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/tracks/0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/audio-analysis/0wvIGFIgbyz4JNwQhZgTv2,374333,3
0.358,0.709,6,-7.608,1,0.034,0.00078,0.000199,0.657,0.339,104.667,audio_features,3tWHAGdj4xV92j8SmfZtZ9,spotify:track:3tWHAGdj4xV92j8SmfZtZ9,https://api.spotify.com/v1/tracks/3tWHAGdj4xV92j8SmfZtZ9,https://api.spotify.com/v1/audio-analysis/3tWHAGdj4xV92j8SmfZtZ9,442827,4
0.482,0.472,4,-5.802,1,0.0336,0.261,5.08e-05,0.17,0.299,138.705,audio_features,5ujavRJ7Mdjg8IEUoWlLCo,spotify:track:5ujavRJ7Mdjg8IEUoWlLCo,https://api.spotify.com/v1/tracks/5ujavRJ7Mdjg8IEUoWlLCo,https://api.spotify.com/v1/audio-analysis/5ujavRJ7Mdjg8IEUoWlLCo,300827,4
0.417,0.913,7,-6.049,0,0.0441,0.00248,1.09e-06,0.166,0.439,144.591,audio_features,2TAQ9YGehOKWDqDak5DuXc,spotify:track:2TAQ9YGehOKWDqDak5DuXc,https://api.spotify.com/v1/tracks/2TAQ9YGehOKWDqDak5DuXc,https://api.spotify.com/v1/audio-analysis/2TAQ9YGehOKWDqDak5DuXc,310400,4
0.48,0.997,3,-3.758,0,0.141,0.000506,0.0,0.338,0.0641,140.095,audio_features,4ywZ7mVmlme6sq5O8vU00V,spotify:track:4ywZ7mVmlme6sq5O8vU00V,https://api.spotify.com/v1/tracks/4ywZ7mVmlme6sq5O8vU00V,https://api.spotify.com/v1/audio-analysis/4ywZ7mVmlme6sq5O8vU00V,207560,4
0.256,0.936,5,-2.906,0,0.105,0.000754,0.000735,0.0874,0.179,174.913,audio_features,64M9Xoy31V2LeyKhJ16YKY,spotify:track:64M9Xoy31V2LeyKhJ16YKY,https://api.spotify.com/v1/tracks/64M9Xoy31V2LeyKhJ16YKY,https://api.spotify.com/v1/audio-analysis/64M9Xoy31V2LeyKhJ16YKY,240840,4
0.417,0.943,10,-4.994,0,0.118,0.000266,0.0,0.099,0.714,170.141,audio_features,16dE1ZQujHYFV0J3n3D9H0,spotify:track:16dE1ZQujHYFV0J3n3D9H0,https://api.spotify.com/v1/tracks/16dE1ZQujHYFV0J3n3D9H0,https://api.spotify.com/v1/audio-analysis/16dE1ZQujHYFV0J3n3D9H0,179933,4
0.333,0.959,9,-3.819,0,0.0876,0.000641,4.81e-05,0.358,0.262,106.037,audio_features,2JP1A26nGpRilkXT3uDGvB,spotify:track:2JP1A26nGpRilkXT3uDGvB,https://api.spotify.com/v1/tracks/2JP1A26nGpRilkXT3uDGvB,https://api.spotify.com/v1/audio-analysis/2JP1A26nGpRilkXT3uDGvB,239987,4
0.558,0.9,11,-4.374,0,0.0501,0.000106,5.7e-06,0.342,0.306,120.047,audio_features,2vDfgDY1Vipw20fwLEunP5,spotify:track:2vDfgDY1Vipw20fwLEunP5,https://api.spotify.com/v1/tracks/2vDfgDY1Vipw20fwLEunP5,https://api.spotify.com/v1/audio-analysis/2vDfgDY1Vipw20fwLEunP5,233360,4
0.348,0.893,0,-4.589,1,0.0662,0.000484,6.36e-05,0.281,0.392,148.043,audio_features,49dFv4gH1SeY90FySDOwCE,spotify:track:49dFv4gH1SeY90FySDOwCE,https://api.spotify.com/v1/tracks/49dFv4gH1SeY90FySDOwCE,https://api.spotify.com/v1/audio-analysis/49dFv4gH1SeY90FySDOwCE,187907,4
0.486,0.937,5,-3.001,0,0.0845,8.09e-05,4.33e-05,0.0352,0.315,129.99,audio_features,5FV4WyulPxHILhuvAdjrJA,spotify:track:5FV4WyulPxHILhuvAdjrJA,https://api.spotify.com/v1/tracks/5FV4WyulPxHILhuvAdjrJA,https://api.spotify.com/v1/audio-analysis/5FV4WyulPxHILhuvAdjrJA,232613,4
0.134,0.336,5,-6.402,1,0.0409,0.000208,0.791,0.22,0.203,100.876,audio_features,2dqgpmX5r9GEW9gLVnKlEv,spotify:track:2dqgpmX5r9GEW9gLVnKlEv,https://api.spotify.com/v1/tracks/2dqgpmX5r9GEW9gLVnKlEv,https://api.spotify.com/v1/audio-analysis/2dqgpmX5r9GEW9gLVnKlEv,117640,4
0.202,0.987,10,-4.88,1,0.113,4.14e-06,0.483,0.66,0.32,143.529,audio_features,6T1qGpFhPEbG9bIm8nYDgC,spotify:track:6T1qGpFhPEbG9bIm8nYDgC,https://api.spotify.com/v1/tracks/6T1qGpFhPEbG9bIm8nYDgC,https://api.spotify.com/v1/audio-analysis/6T1qGpFhPEbG9bIm8nYDgC,225800,3
